auc,precision,recall,accuracy,model,sampling,rep
0.9218099125364432,0.8964414234306277,0.9151020408163265,0.8665714285714285,node_nonetwork,deg,13
0.9219790087463556,0.8966346153846154,0.913469387755102,0.8657142857142858,node_basic,deg,13
0.9215906705539358,0.8988358089120835,0.9138775510204081,0.8677142857142857,node_full,deg,13
0.9303875607385812,0.9035123132821962,0.913469387755102,0.8711428571428571,egoalter_basic,deg,13
0.9294410106899903,0.8988404638144742,0.9175510204081633,0.87,egoalter_full,deg,13
0.9197119315680231,0.8829211746522411,0.9341782502044154,0.8673906830523006,node_nonetwork,edge,13
0.9197864762051189,0.8844065166795966,0.9321340964840557,0.8673906830523006,node_basic,edge,13
0.9180261356603684,0.8845553822152886,0.9272281275551921,0.8645327236353244,node_full,edge,13
0.9278737928233703,0.8939274447949527,0.9268192968111202,0.8719634181194627,egoalter_basic,edge,13
0.9255318488079458,0.8884120171673819,0.9309076042518397,0.8699628465275793,egoalter_full,edge,13
0.9208365903995556,0.8979509843310567,0.9089060593737291,0.8634285714285714,node_nonetwork,node,14
0.9214987465910676,0.9001208215867902,0.9089060593737291,0.8651428571428571,node_basic,node,14
0.9203810894442146,0.8973429951690821,0.906466043106954,0.8614285714285714,node_full,node,14
0.929444230236591,0.9038461538461539,0.917446116307442,0.8734285714285714,egoalter_basic,node,14
0.9272421214156157,0.9037454691904954,0.9125660837738918,0.8702857142857143,egoalter_full,node,14
0.9190161321671526,0.8810452418096724,0.9220408163265306,0.8582857142857143,node_nonetwork,deg,14
0.9198277939747328,0.8858717040535222,0.9187755102040817,0.8602857142857143,node_basic,deg,14
0.9187669582118562,0.883921568627451,0.92,0.8594285714285714,node_full,deg,14
0.9264967930029154,0.8955342902711324,0.916734693877551,0.8668571428571429,egoalter_basic,deg,14
0.9255576287657921,0.8885837583366026,0.9244897959183673,0.866,egoalter_full,deg,14
0.9210993052052655,0.8862916006339144,0.916052416052416,0.8593883966847671,node_nonetwork,edge,14
0.9220167100961802,0.8975193167954453,0.9037674037674037,0.8608173763932552,node_basic,edge,14
0.9220705611434088,0.8976026005688744,0.9045864045864046,0.8613889682766505,node_full,edge,14
0.9310621363601496,0.9038383838383839,0.916052416052416,0.8733923978279509,egoalter_basic,edge,14
0.931304272363875,0.8998397435897436,0.9197379197379197,0.8725350100028579,egoalter_full,edge,14
0.9178031077964588,0.8633610900832702,0.9333060556464812,0.8502857142857143,node_nonetwork,node,15
0.9176601324207707,0.8626040878122634,0.9324877250409165,0.8491428571428571,node_basic,node,15
0.9158339997768189,0.8638088012139605,0.9316693944353519,0.8497142857142858,node_full,node,15
0.9269016112433666,0.867320015077271,0.9414893617021277,0.8585714285714285,egoalter_basic,node,15
0.9272286335118782,0.8679458239277652,0.9439443535188216,0.8605714285714285,egoalter_full,node,15
0.9184862350547708,0.8637747336377474,0.9337721102426985,0.8517142857142858,node_nonetwork,deg,15
